"quartile","split","left_acc","right_acc","chisq_value","chisq_df","chisq_p","feature","left_feature_value","right_feature_value"
1,1,0.411304347826087,0.606498194945848,33.5914403202469,1,6.79912711731823e-09,"one_digit_diff_not_zero","n","y"
1,3,0.534090909090909,0.732673267326733,9.78799165932935,1,0.00175655208227423,"bigger_places","2","1"
2,1,0.591932457786116,0.837037037037037,77.4212258345176,1,1.3812284211727e-18,"places","2v3, 3v3, 3v4, 4v4","1v1, 1v2, 2v2"
2,2,0.638576779026217,0.545112781954887,9.25479709073366,1,0.0023487935788476,"places","2v3","3v3, 3v4, 4v4"
2,5,0.517241379310345,0.861702127659574,20.9622639993797,1,4.68419530243766e-06,"transposition","y","n"
2,7,0.814545454545455,0.99009900990099,17.6587772965331,1,2.64292791029542e-05,"bigger_places","2","1"
3,1,0.74702380952381,0.897703549060543,64.1788218205518,1,1.13623582360429e-15,"places","3v3, 3v4, 4v4","1v1, 1v2, 2v2, 2v3"
3,2,0.776801405975395,0.58252427184466,16.4055841744697,1,5.1134364372553e-05,"inserting_zero","n","y"
3,3,0.742718446601942,0.866242038216561,9.30445751522826,1,0.00228596984996039,"transposition","y","n"
3,5,0.904,0.71875,6.03188736432073,1,0.0140497028444928,"bigger_places","3","4"
3,9,0.90280777537797,0.75,6.28891276657644,1,0.0121495556931274,"transposition","n","y"
3,10,0.88006230529595,0.954225352112676,11.5114140568268,1,0.000691701389074619,"length_diff","y","n"
4,1,0.989102564102564,0.933333333333333,15.4105353740084,1,8.65046623712998e-05,"places","1v1, 1v2, 2v2, 2v3, 3v3, 4v4","3v4"
