item,bigger_places,places,length_diff,one_digit_diff_not_zero,transposition,inserting_zero,e3_categories,category,left_num,right_num,left_number_range,right_number_range,item_comparison_unordered,item_comparison,item_type
36 v 306,3,2v3,y,n,n,y,omit,M-DP,36,306,decade,hundred,decade_hundred,decade_hundred,Inserting_zero
64 v 604,3,2v3,y,n,n,y,omit,M-DP,64,604,decade,hundred,decade_hundred,decade_hundred,Inserting_zero
100 v 10,3,2v3,y,n,n,y,omit,M-DP,100,10,hundred,decade,hundred_decade,decade_hundred,Inserting_zero
201 v 21,3,2v3,y,n,n,y,omit,M-DP,201,21,hundred,decade,hundred_decade,decade_hundred,Inserting_zero
402 v 42,3,2v3,y,n,n,y,omit,M-DP,402,42,hundred,decade,hundred_decade,decade_hundred,Inserting_zero
6 v 60,2,1v2,y,n,n,y,omit,M-DP,6,60,single,decade,single_decade,single_decade,Inserting_zero
15 v 105,3,2v3,y,n,n,y,omit,M-DP,15,105,teen,hundred,teen_hundred,teen_hundred,Inserting_zero
1010 v 101,4,3v4,y,n,n,y,omit,M-DP,1010,101,thousand,hundred,thousand_hundred,hundred_thousand,Inserting_zero
807 v 78,3,2v3,y,n,n,n,omit,M-DP,807,78,hundred,decade,hundred_decade,decade_hundred,Neither
891 v 89,3,2v3,y,y,n,n,omit,M-DP,891,89,hundred,decade,hundred_decade,decade_hundred,Neither
101 v 99,3,2v3,y,n,n,n,omit,M-DP,101,99,hundred,decade,hundred_decade,decade_hundred,Neither
30 v 60,2,2v2,n,y,n,n,2d_no_trans,M-SP-no-T,30,60,decade,decade,decade_decade,decade_decade,Neither
26 v 73,2,2v2,n,n,n,n,2d_no_trans,M-SP-no-T,26,73,decade,decade,decade_decade,decade_decade,Neither
437 v 137,3,3v3,n,y,n,n,3d_no_trans,M-SP-no-T,437,137,hundred,hundred,hundred_hundred,hundred_hundred,Neither
974 v 174,3,3v3,n,y,n,n,3d_no_trans,M-SP-no-T,974,174,hundred,hundred,hundred_hundred,hundred_hundred,Neither
124 v 184,3,3v3,n,y,n,n,3d_no_trans,M-SP-no-T,124,184,hundred,hundred,hundred_hundred,hundred_hundred,Neither
223 v 220,3,3v3,n,n,n,n,3d_no_trans,M-SP-no-T,223,220,hundred,hundred,hundred_hundred,hundred_hundred,Neither
274 v 234,3,3v3,n,y,n,n,3d_no_trans,M-SP-no-T,274,234,hundred,hundred,hundred_hundred,hundred_hundred,Neither
670 v 270,3,3v3,n,y,n,n,3d_no_trans,M-SP-no-T,670,270,hundred,hundred,hundred_hundred,hundred_hundred,Neither
274 v 273,3,3v3,n,y,n,n,3d_no_trans,M-SP-no-T,274,273,hundred,hundred,hundred_hundred,hundred_hundred,Neither
352 v 358,3,3v3,n,y,n,n,3d_no_trans,M-SP-no-T,352,358,hundred,hundred,hundred_hundred,hundred_hundred,Neither
782 v 382,3,3v3,n,y,n,n,3d_no_trans,M-SP-no-T,782,382,hundred,hundred,hundred_hundred,hundred_hundred,Neither
351 v 451,3,3v3,n,y,n,n,3d_no_trans,M-SP-no-T,351,451,hundred,hundred,hundred_hundred,hundred_hundred,Neither
451 v 459,3,3v3,n,y,n,n,3d_trans,M-SP-no-T,451,459,hundred,hundred,hundred_hundred,hundred_hundred,Neither
513 v 517,3,3v3,n,y,n,n,3d_no_trans,M-SP-no-T,513,517,hundred,hundred,hundred_hundred,hundred_hundred,Neither
585 v 525,3,3v3,n,y,n,n,3d_no_trans,M-SP-no-T,585,525,hundred,hundred,hundred_hundred,hundred_hundred,Neither
278 v 578,3,3v3,n,y,n,n,3d_no_trans,M-SP-no-T,278,578,hundred,hundred,hundred_hundred,hundred_hundred,Neither
492 v 592,3,3v3,n,y,n,n,3d_trans,M-SP-no-T,492,592,hundred,hundred,hundred_hundred,hundred_hundred,Neither
693 v 613,3,3v3,n,y,n,n,3d_no_trans,M-SP-no-T,693,613,hundred,hundred,hundred_hundred,hundred_hundred,Neither
651 v 621,3,3v3,n,y,n,n,3d_no_trans,M-SP-no-T,651,621,hundred,hundred,hundred_hundred,hundred_hundred,Neither
612 v 642,3,3v3,n,y,n,n,3d_no_trans,M-SP-no-T,612,642,hundred,hundred,hundred_hundred,hundred_hundred,Neither
653 v 643,3,3v3,n,y,n,n,3d_no_trans,M-SP-no-T,653,643,hundred,hundred,hundred_hundred,hundred_hundred,Neither
846 v 836,3,3v3,n,y,n,n,3d_no_trans,M-SP-no-T,846,836,hundred,hundred,hundred_hundred,hundred_hundred,Neither
851 v 854,3,3v3,n,y,n,n,3d_no_trans,M-SP-no-T,851,854,hundred,hundred,hundred_hundred,hundred_hundred,Neither
273 v 873,3,3v3,n,y,n,n,3d_no_trans,M-SP-no-T,273,873,hundred,hundred,hundred_hundred,hundred_hundred,Neither
874 v 875,3,3v3,n,y,n,n,3d_no_trans,M-SP-no-T,874,875,hundred,hundred,hundred_hundred,hundred_hundred,Neither
945 v 942,3,3v3,n,y,n,n,3d_no_trans,M-SP-no-T,945,942,hundred,hundred,hundred_hundred,hundred_hundred,Neither
536 v 5362,4,3v4,y,y,n,n,omit,M-SP-no-T,536,5362,hundred,thousand,hundred_thousand,hundred_thousand,Neither
11 v 19,2,2v2,n,y,n,n,teens,M-SP-no-T,11,19,teen,decade,teen_decade,teen_decade,Neither
