"quartile","item","item_acc","item_total_n","item_total_success","item_binomial_p","sig_above","sig_below","star_above","star_below","star"
1,"100 v 10",0.683544303797468,79,54,0.0015,"yes","no","*"," ","*"
1,"101 v 99",0.51219512195122,41,21,1,"no","no"," "," "," "
1,"11 v 19",0.560975609756098,41,23,0.5327,"no","no"," "," "," "
1,"11 v 24",0.5,6,3,1,"no","no"," "," "," "
1,"123 v 321",0.40506329113924,79,32,0.1147,"no","no"," "," "," "
1,"124 v 184",0.5625,16,9,0.8036,"no","no"," "," "," "
1,"132 v 231",0.6,15,9,0.6072,"no","no"," "," "," "
1,"14 v 41",0.463414634146341,41,19,0.7552,"no","no"," "," "," "
1,"15 v 105",0,6,0,0.0313,"no","yes"," ","*","*"
1,"16 v 62",0.344827586206897,58,20,0.0247,"no","yes"," ","*","*"
1,"18 v 81",0.476190476190476,21,10,1,"no","no"," "," "," "
1,"2 v 8",0.19047619047619,21,4,0.0072,"no","yes"," ","*","*"
1,"201 v 21",0.5,6,3,1,"no","no"," "," "," "
1,"206 v 260",0,6,0,0.0313,"no","yes"," ","*","*"
1,"223 v 220",0.443037974683544,79,35,0.3682,"no","no"," "," "," "
1,"241 v 421",0.4,15,6,0.6072,"no","no"," "," "," "
1,"256 v 526",0.666666666666667,15,10,0.3018,"no","no"," "," "," "
1,"26 v 73",0.362068965517241,58,21,0.0479,"no","yes"," ","*","*"
1,"261 v 162",0.4,15,6,0.6072,"no","no"," "," "," "
1,"273 v 237",0.666666666666667,15,10,0.3018,"no","no"," "," "," "
1,"273 v 873",0.5,16,8,1,"no","no"," "," "," "
1,"274 v 234",0.3125,16,5,0.2101,"no","no"," "," "," "
1,"274 v 273",0.4375,16,7,0.8036,"no","no"," "," "," "
1,"278 v 578",0.5625,16,9,0.8036,"no","no"," "," "," "
1,"285 v 258",0.266666666666667,15,4,0.1185,"no","no"," "," "," "
1,"3 v 7",0.515625,64,33,0.9007,"no","no"," "," "," "
1,"30 v 60",0.413793103448276,58,24,0.237,"no","no"," "," "," "
1,"35 v 53",0.476190476190476,21,10,1,"no","no"," "," "," "
1,"350 v 305",0.166666666666667,6,1,0.2188,"no","no"," "," "," "
1,"351 v 451",0.5625,16,9,0.8036,"no","no"," "," "," "
1,"352 v 358",0.4375,16,7,0.8036,"no","no"," "," "," "
1,"36 v 306",0.5,6,3,1,"no","no"," "," "," "
1,"364 v 436",0.333333333333333,15,5,0.3018,"no","no"," "," "," "
1,"402 v 42",0.833333333333333,6,5,0.2188,"no","no"," "," "," "
1,"437 v 137",0.1875,16,3,0.0213,"no","yes"," ","*","*"
1,"451 v 459",0.375,16,6,0.4545,"no","no"," "," "," "
1,"459 v 945",0.4,15,6,0.6072,"no","no"," "," "," "
1,"4620 v 4520",0.341463414634146,41,14,0.0596,"no","no"," "," "," "
1,"475 v 574",0.333333333333333,15,5,0.3018,"no","no"," "," "," "
1,"492 v 294",0.266666666666667,15,4,0.1185,"no","no"," "," "," "
