quartile,split_node,left_terminal,right_terminal,feature,feature_value
1,1,2,NA,inserting_zero,y
1,1,NA,3,inserting_zero,n
2,1,2,NA,places,"2v2, 3v3, 4v4"
2,1,NA,3,places,"1v1, 1v2, 2v3, 3v4"
3,1,2,NA,transposition,y
3,1,NA,5,transposition,n
3,1,NA,6,transposition,n
3,1,NA,7,transposition,n
3,3,5,NA,length_diff,n
3,3,6,NA,length_diff,n
3,3,NA,7,length_diff,y
3,4,5,NA,one_digit_diff_not_zero,n
3,4,na,6,one_digit_diff_not_zero,y
4,1,3,NA,places,"1v1, 1v2, 2v2, 2v3, 3v4"
4,1,4,NA,places,"1v1, 1v2, 2v2, 2v3, 3v4"
4,1,NA,6,places,"3v3, 4v4"
4,1,NA,7,places,"3v3, 4v4"
4,2,3,NA,transposition,n
4,2,NA,4,transposition,y
4,5,6,NA,bigger_places,4
4,5,NA,7,bigger_places,3
