"quartile","item","item_acc","item_total_n","item_total_success","item_binomial_p","sig_above","sig_below","star_above","star_below","star"
1,"1000 v 100",0.339622641509434,53,18,0.027,"no","yes"," ","*","*"
1,"1002 v 1020",0.509433962264151,53,27,1,"no","no"," "," "," "
1,"101 v 100",1,10,10,0.002,"yes","no","*"," ","*"
1,"102 v 120",0.2,10,2,0.1094,"no","no"," "," "," "
1,"105 v 125",0.413333333333333,75,31,0.1654,"no","no"," "," "," "
1,"11 v 24",0.425742574257426,101,43,0.1633,"no","no"," "," "," "
1,"12 v 22",0.466666666666667,75,35,0.6445,"no","no"," "," "," "
1,"14 v 41",0.333333333333333,9,3,0.5078,"no","no"," "," "," "
1,"15 v 5",0.584158415841584,101,59,0.1109,"no","no"," "," "," "
1,"189 v 198",0.666666666666667,3,2,1,"no","no"," "," "," "
1,"1900 v 1009",0,3,0,0.25,"no","no"," "," "," "
1,"2 v 8",0.791666666666667,72,57,0,"yes","no","*"," ","*"
1,"201 v 21",0.423913043478261,92,39,0.175,"no","no"," "," "," "
1,"206 v 260",0.282608695652174,92,26,0,"no","yes"," ","*","*"
1,"2060 v 2006",0,3,0,0.25,"no","no"," "," "," "
1,"3 v 7",0.586206896551724,29,17,0.4583,"no","no"," "," "," "
1,"3070 v 307",0.666666666666667,3,2,1,"no","no"," "," "," "
1,"350 v 305",0.475247524752475,101,48,0.6908,"no","no"," "," "," "
1,"36 v 306",0.326086956521739,92,30,0.0011,"no","yes"," ","*","*"
1,"362 v 326",0.333333333333333,3,1,1,"no","no"," "," "," "
1,"402 v 42",0.489130434782609,92,45,0.917,"no","no"," "," "," "
1,"485 v 4085",0.666666666666667,3,2,1,"no","no"," "," "," "
1,"5109 v 5910",0.666666666666667,3,2,1,"no","no"," "," "," "
1,"64 v 604",0.425742574257426,101,43,0.1633,"no","no"," "," "," "
1,"670 v 67",0.361111111111111,72,26,0.0245,"no","yes"," ","*","*"
1,"677 v 766",1,3,3,0.25,"no","no"," "," "," "
1,"7014 v 7804",0,3,0,0.25,"no","no"," "," "," "
1,"807 v 78",0.423913043478261,92,39,0.175,"no","no"," "," "," "
1,"85 v 850",0.393939393939394,66,26,0.1089,"no","no"," "," "," "
1,"8503 v 8350",0,3,0,0.25,"no","no"," "," "," "
1,"900 v 99",0.555555555555556,9,5,1,"no","no"," "," "," "
2,"1000 v 100",0.387096774193548,31,12,0.281,"no","no"," "," "," "
2,"1002 v 1020",0.645161290322581,31,20,0.1496,"no","no"," "," "," "
2,"101 v 100",0.833333333333333,12,10,0.0386,"yes","no","*"," ","*"
2,"102 v 120",0.583333333333333,12,7,0.7744,"no","no"," "," "," "
2,"105 v 125",0.575342465753425,73,42,0.2416,"no","no"," "," "," "
2,"11 v 24",0.831683168316832,101,84,0,"yes","no","*"," ","*"
2,"12 v 22",0.753424657534247,73,55,0,"yes","no","*"," ","*"
2,"14 v 41",0.517241379310345,29,15,1,"no","no"," "," "," "
2,"15 v 5",0.841584158415842,101,85,0,"yes","no","*"," ","*"
2,"189 v 198",0.45,20,9,0.8238,"no","no"," "," "," "
2,"1900 v 1009",0.6,20,12,0.5034,"no","no"," "," "," "
2,"2 v 8",0.986111111111111,72,71,0,"yes","no","*"," ","*"
2,"201 v 21",0.666666666666667,72,48,0.0063,"yes","no","*"," ","*"
2,"206 v 260",0.486111111111111,72,35,0.9063,"no","no"," "," "," "
2,"2060 v 2006",0.75,20,15,0.0414,"yes","no","*"," ","*"
2,"3 v 7",1,29,29,0,"yes","no","*"," ","*"
2,"3070 v 307",0.7,20,14,0.1153,"no","no"," "," "," "
2,"350 v 305",0.564356435643564,101,57,0.2323,"no","no"," "," "," "
2,"36 v 306",0.597222222222222,72,43,0.1249,"no","no"," "," "," "
2,"362 v 326",0.5,20,10,1,"no","no"," "," "," "
2,"402 v 42",0.736111111111111,72,53,1e-04,"yes","no","*"," ","*"
2,"485 v 4085",0.3,20,6,0.1153,"no","no"," "," "," "
2,"5109 v 5910",0.55,20,11,0.8238,"no","no"," "," "," "
2,"64 v 604",0.613861386138614,101,62,0.0281,"yes","no","*"," ","*"
2,"670 v 67",0.666666666666667,72,48,0.0063,"yes","no","*"," ","*"
2,"677 v 766",0.7,20,14,0.1153,"no","no"," "," "," "
2,"7014 v 7804",0.4,20,8,0.5034,"no","no"," "," "," "
2,"807 v 78",0.541666666666667,72,39,0.556,"no","no"," "," "," "
2,"85 v 850",0.613636363636364,44,27,0.1742,"no","no"," "," "," "
2,"8503 v 8350",0.4,20,8,0.5034,"no","no"," "," "," "
2,"900 v 99",0.724137931034483,29,21,0.0241,"yes","no","*"," ","*"
3,"1000 v 100",0.58974358974359,39,23,0.3368,"no","no"," "," "," "
