"","node_name","quartile","density","diameter","degree_mean","degree","closeness","betweenness","modularity"
"1","decade",1,0.0666666666666667,0,0.4,0,0.05,0,0
"2","hundred",1,0.0666666666666667,0,0.4,0,0.05,0,0
"3","single",1,0.0666666666666667,0,0.4,2,0.05,0,0
"4","teen",1,0.0666666666666667,0,0.4,0,0.05,0,0
"5","thousand",1,0.0666666666666667,0,0.4,0,0.05,0,0
"6","decade",2,0.2,2,1.2,1,0.0769230769230769,0,0.166666666666667
"7","hundred",2,0.2,2,1.2,0,0.05,0,0.166666666666667
"8","single",2,0.2,2,1.2,3,0.0769230769230769,0,0.166666666666667
"9","teen",2,0.2,2,1.2,2,0.0833333333333333,1,0.166666666666667
"10","thousand",2,0.2,2,1.2,0,0.05,0,0.166666666666667
"11","decade",3,0.6,3,3.6,3,0.111111111111111,2,0.419753086419753
"12","hundred",3,0.6,3,3.6,5,0.0909090909090909,0,0.419753086419753
"13","single",3,0.6,3,3.6,3,0.0909090909090909,0,0.419753086419753
"14","teen",3,0.6,3,3.6,3,0.111111111111111,2,0.419753086419753
"15","thousand",3,0.6,3,3.6,4,0.05,0,0.419753086419753
"16","decade",4,0.666666666666667,4,4,3,0.166666666666667,4,0.395
"17","hundred",4,0.666666666666667,4,4,6,0.142857142857143,3,0.395
"18","single",4,0.666666666666667,4,4,3,0.1,0,0.395
"19","teen",4,0.666666666666667,4,4,3,0.142857142857143,3,0.395
"20","thousand",4,0.666666666666667,4,4,5,0.1,0,0.395
