quartile,split_node,left_terminal,right_terminal,feature,feature_value
1,1,2,NA,one_digit_diff_not_zero,n
1,1,NA,4,one_digit_diff_not_zero,y
1,1,,5,one_digit_diff_not_zero,y
1,3,4,NA,bigger_places,2
1,3,NA,5,bigger_places,1
2,1,3,NA,places,"2v3, 3v3, 3v4, 4v4"
2,1,4,NA,places,"2v3, 3v3, 3v4, 4v4"
2,1,NA,6,places,"1v1, 1v2, 2v2"
2,1,NA,8,places,"1v1, 1v2, 2v2"
2,1,NA,9,places,"1v1, 1v2, 2v2"
2,2,3,NA,places,2v3
2,2,NA,4,places,"3v3, 3v4, 4v4"
2,5,6,NA,transposition,y
2,5,NA,8,transposition,n
2,5,NA,9,transposition,n
2,7,8,NA,bigger_places,2
2,7,NA,9,bigger_places,1
3,1,4,NA,places,"3v3, 3v4, 4v4"
3,1,6,NA,places,"3v3, 3v4, 4v4"
3,1,7,NA,places,"3v3, 3v4, 4v4"
3,1,8,NA,places,"3v3, 3v4, 4v4"
3,1,NA,11,places,"1v1, 1v2, 2v2, 2v3"
3,1,NA,12,places,"1v1, 1v2, 2v2, 2v3"
3,1,NA,13,places,"1v1, 1v2, 2v2, 2v3"
3,2,4,NA,inserting_zero,n
3,2,6,NA,inserting_zero,n
3,2,7,NA,inserting_zero,n
3,2,NA,8,inserting_zero,y
3,3,4,NA,transposition,y
3,3,NA,6,transposition,n
3,3,NA,7,transposition,n
3,5,6,NA,bigger_places,3
3,5,NA,7,bigger_places,4
3,9,11,NA,transposition,n
3,9,12,NA,transposition,n
3,9,NA,13,transposition,y
3,10,11,NA,length_diff,y
3,10,NA,12,length_diff,n
4,1,2,NA,places,"1v1, 1v2, 2v2, 2v3, 3v3, 4v4"
4,1,NA,3,places,3v4
