quartile,node_type,node_number,feature
1,inner,1,one_digit_diff_not_zero
1,terminal,2,NA
1,inner,3,bigger_places
1,terminal,4,NA
1,terminal,5,NA
2,inner,1,places
2,inner,2,transposition
2,inner,3,bigger_places
2,terminal,4,NA
2,terminal,5,NA
2,terminal,6,NA
2,inner,7,places
2,terminal,8,NA
2,terminal,9,NA
3,inner,1,places
3,inner,2,transposition
3,inner,3,length_diff
3,terminal,4,NA
3,terminal,5,NA
3,terminal,6,NA
3,inner,7,inserting_zero
3,inner,8,transposition
3,inner,9,places
3,terminal,10,NA
3,terminal,11,NA
3,terminal,12,NA
3,terminal,13,NA
4,inner,1,places
4,terminal,2,NA
4,inner,3,length_diff
4,terminal,4,NA
4,terminal,5,NA
