"excel_file_name","id","sex","dob","doe","age_months","age_years","age_years_group","location","percentage_correct","ses","within_id","twins","item","acc","subj_acc","quartile","bigger_places","places","length_diff","one_digit_diff_not_zero","transposition","inserting_zero","e3_categories","category","left_num","right_num","left_number_range","right_number_range","item_comparison_unordered","item_comparison","item_type","task"
"Meap 3 Data only/sheet: combined data",3,NA,"2/22/09","5/20/13",50.92105263,4.243421053,4,"KA",56.3,1,"2/22/09 5/20/13 NA KA","n","3 v 7",0,0.5625,2,1,"1v1","n","y","n","n","single","S",3,7,"single","single","single_single","single_single","Neither","More"
"Block and Abacus Data/sheet: Combined data",4,"F","7/17/03","8/13/09",72.99342105,6.082785088,6,"Lab",93.75,NA,"7/17/03 8/13/09 F Lab","n","3 v 7",1,0.9375,4,1,"1v1","n","y","n","n","single","S",3,7,"single","single","single_single","single_single","Neither","More"
"Digit Training/sheet: data",5,"M","10/1/03","2/26/10",76.97368421,6.414473684,6,"Lab",85,NA,"10/1/03 2/26/10 M Lab","n","3 v 7",1,0.85,4,1,"1v1","n","y","n","n","single","S",3,7,"single","single","single_single","single_single","Neither","More"
"Meap Mapping Data/sheet: combined data",6,"F","7/29/05","6/23/09",46.88,3.90625,3,"Lab",62.5,NA,"7/29/05 6/23/09 F Lab","n","3 v 7",0,0.625,2,1,"1v1","n","y","n","n","single","S",3,7,"single","single","single_single","single_single","Neither","More"
"Meap 3 Data only/sheet: combined data",10,NA,"12/10/09","5/21/13",41.38157895,3.448464912,3,"KA",50,1,"12/10/09 5/21/13 NA KA","n","3 v 7",1,0.5,1,1,"1v1","n","y","n","n","single","S",3,7,"single","single","single_single","single_single","Neither","More"
"Block and Abacus Data/sheet: Combined data",11,"M","7/21/03","10/14/09",74.90131579,6.241776316,6,"Lab",87.5,NA,"7/21/03 10/14/09 M Lab","n","3 v 7",1,0.875,4,1,"1v1","n","y","n","n","single","S",3,7,"single","single","single_single","single_single","Neither","More"
"Digit Training/sheet: data",12,"M","1/10/05","3/8/10",61.94078947,5.161732456,5,"Lab",100,NA,"1/10/05 3/8/10 M Lab","n","3 v 7",1,1,4,1,"1v1","n","y","n","n","single","S",3,7,"single","single","single_single","single_single","Neither","More"
"Meap Mapping Data/sheet: combined data",13,"M","8/17/05","6/23/09",46.25,3.854166667,3,"Lab",31.25,NA,"8/17/05 6/23/09 M Lab","n","3 v 7",1,0.3125,1,1,"1v1","n","y","n","n","single","S",3,7,"single","single","single_single","single_single","Neither","More"
"Meap 3 Data only/sheet: combined data",17,NA,"4/26/09","5/21/13",48.88157895,4.073464912,4,"KA",56.3,1,"4/26/09 5/21/13 NA KA","n","3 v 7",1,0.5625,2,1,"1v1","n","y","n","n","single","S",3,7,"single","single","single_single","single_single","Neither","More"
"Block and Abacus Data/sheet: Combined data",19,"M","8/18/03","8/18/09",72.10526316,6.00877193,6,"Lab",81.25,NA,"8/18/03 8/18/09 M Lab","n","3 v 7",1,0.8125,3,1,"1v1","n","y","n","n","single","S",3,7,"single","single","single_single","single_single","Neither","More"
