"within_id"
"5/21/05 4/7/10 F Lab"
"1/12/04 4/12/10 F Lab"
"10/24/05 4/12/10 F Lab"
"3/3/04 4/12/10 M Lab"
"5/16/04 4/29/10 M Lab"
"3/24/05 4/28/10 M Lab"
"3/23/05 4/28/10 F Lab"
"5/6/04 4/21/10 F Lab"
"12/20/04 4/21/10 F Lab"
"3/15/05 4/20/10 M Lab"
"1/12/05 4/14/10 M Lab"
"2/22/09 5/20/13 NA KA"
"7/17/03 8/13/09 F Lab"
"10/1/03 2/26/10 M Lab"
"7/29/05 6/23/09 F Lab"
"12/10/09 5/21/13 NA KA"
"7/21/03 10/14/09 M Lab"
"1/10/05 3/8/10 M Lab"
"8/17/05 6/23/09 M Lab"
"4/26/09 5/21/13 NA KA"
"8/18/03 8/18/09 M Lab"
"9/30/04 3/11/10 M Lab"
"7/28/05 6/24/09 M Lab"
"11/9/08 5/21/13 NA KA"
"12/15/04 8/18/09 F Lab"
"2/7/06 3/15/10 F Lab"
"3/29/05 6/22/09 F Lab"
"2/19/09 5/21/13 NA KA"
"8/20/03 8/18/09 M Lab"
"7/4/04 3/15/10 M Lab"
"8/8/05 6/22/09 F Lab"
"12/20/08 5/21/13 NA KA"
"7/19/03 8/19/09 M Lab"
"12/28/05 3/11/10 F Lab"
"1/30/06 6/25/09 M Lab"
"11/28/08 5/21/13 NA KA"
"2/7/04 9/9/09 M Lab"
"12/31/03 3/10/10 M Lab"
"6/22/03 6/25/09 M Lab"
"4/11/09 5/21/13 NA KA"
"2/27/05 9/9/09 F Lab"
"2/7/05 3/9/10 F Lab"
"5/6/04 6/25/09 F Lab"
"11/29/03 8/26/09 F Lab"
"3/5/05 3/8/10 M Lab"
"1/31/06 6/25/09 M Lab"
"5/28/09 5/21/13 NA KA"
"4/26/04 8/26/09 F Lab"
"12/1/04 3/3/10 M Lab"
"3/23/05 6/29/09 F Lab"
"5/6/10 5/21/13 NA KA"
"4/24/04 9/10/09 M Lab"
"12/6/05 3/3/10 M Lab"
"12/27/02 6/29/09 M Lab"
"11/8/09 5/21/13 NA KA"
"2/8/04 9/11/09 M Lab"
"2/14/05 3/20/10 F Lab"
"6/22/04 6/29/09 M Lab"
"9/20/09 5/22/13 NA KA"
"4/28/04 9/24/09 M Lab"
"2/11/05 3/19/10 M Lab"
"3/7/06 7/1/09 M Lab"
"10/4/07 5/22/13 NA KA"
"8/16/04 10/7/09 F Lab"
"8/4/05 3/19/10 M Lab"
"1/13/04 7/1/09 M Lab"
"7/2/08 5/22/13 NA KA"
"1/12/04 10/5/09 F Lab"
"7/1/04 3/23/10 M Lab"
"7/29/05 6/30/09 F Lab"
"5/17/09 5/22/13 NA KA"
"6/19/04 10/14/09 M Lab"
"1/6/05 4/6/10 M Lab"
"7/28/03 6/30/09 F Lab"
"9/19/10 5/22/13 NA KA"
"2/20/03 10/22/09 M Lab"
"7/12/03 3/31/10 F Lab"
"4/15/05 7/1/09 F Lab"
"3/25/03 10/28/09 F Lab"
"9/13/04 4/5/10 F Lab"
"7/28/03 30-Jun F Lab"
"2/16/08 5/23/13 NA PLW"
"2/3/03 10/29/09 M Lab"
"5/11/05 4/10/10 F Lab"
"3/28/05 6/30/09 F Lab"
"8/22/10 5/23/13 NA PLW"
"8/19/03 10/29/09 F Lab"
"3/17/04 6/30/09 M Lab"
"7/21/10 5/23/13 NA PLW"
"2/10/03 11/5/09 F Lab"
"5/4/06 7/7/09 M Lab"
"1/7/09 5/23/13 NA PLW"
"1/18/03 11/9/09 F Lab"
"7/27/04 7/7/09 M Lab"
"4/24/03 11/10/09 M Lab"
"5/27/05 4/15/10 F Lab"
"3/12/04 7/9/09 F Lab"
"3/3/10 5/27/13 NA PLW"
"5/31/08 5/23/13 NA PLW"
"1/21/03 11/16/09 F Lab"
"12/1/05 7/8/09 F Lab"
"7/8/10 5/27/13 NA PLW"
"3/16/05 11/17/09 M Lab"
"10/19/05 4/14/10 M Lab"
"6/2/05 7/9/09 M Lab"
"5/26/10 5/27/13 NA PLW"
"1/17/03 11/17/09 M Lab"
"4/13/06 4/28/10 F Lab"
"2/26/06 7/9/09 F Lab"
"12/30/08 5/27/13 NA PLE"
"4/9/04 12/2/09 M Lab"
"5/7/04 4/16/10 F Lab"
"10/20/04 7/10/09 M Lab"
"6/23/10 5/27/13 NA PLE"
"6/16/05 12/2/09 F Lab"
"8/3/04 4/20/10 F Lab"
"11/30/06 7/10/09 F Lab"
"12/9/07 5/27/13 NA PLE"
"6/20/05 12/1/09 M Lab"
"3/22/04 7/13/09 M Lab"
"8/15/08 5/27/13 NA PLE"
"4/8/04 12/3/09 M Lab"
"8/2/04 7/14/09 F Lab"
"8/3/09 5/27/13 NA PLE"
"6/15/05 12/8/09 M Lab"
"1/30/06 4/21/10 M Lab"
"12/1/05 7/14/09 M Lab"
"9/23/08 5/27/13 NA PLE"
"4/5/04 12/4/09 F Lab"
"11/7/02 7/14/09 M Lab"
"1/27/03 12/9/09 M Lab"
"5/26/05 4/26/10 F Lab"
"11/1/04 7/15/09 M Lab"
"6/1/05 12/9/09 M Lab"
"5/13/04 4/27/10 M Lab"
"12/6/05 7/15/09 M Lab"
"6/14/05 12/9/09 M Lab"
"12/3/05 5/17/10 M Lab"
"1/14/04 7/15/09 M Lab"
"9/12/05 1/26/10 F Lab"
"7/9/05 5/17/10 F Lab"
"1/24/05 7/15/09 M Lab"
"10/3/04 1/21/10 M Lab"
"7/8/05 5/18/10 F Lab"
"10/26/05 7/15/09 F Lab"
"8/27/05 1/21/10 F Lab"
"8/30/05 5/18/10 F Lab"
"2/11/05 7/16/09 M Lab"
"8/22/05 1/21/10 F Lab"
"7/15/05 5/20/10 F Lab"
"10/25/04 7/23/09 M Lab"
"8/4/04 1/19/10 F Lab"
"8/11/03 5/20/10 M Lab"
"6/16/04 7/23/09 F Lab"
"9/8/05 1/19/10 M Lab"
"9/17/03 5/20/10 F Lab"
"1/31/06 7/23/09 M Lab"
"5/6/04 1/15/10 F Lab"
"9/13/03 5/28/10 F Lab"
"3/2/04 7/23/09 F Lab"
"12/15/03 1/14/10 F Lab"
"9/12/03 6/2/10 F Lab"
"3/28/06 7/17/09 F Lab"
"9/22/05 2/2/10 F Lab"
"9/16/03 6/2/10 M Lab"
"4/13/06 7/17/09 F Lab"
"7/20/08 5/29/13 NA Lab"
"11/16/04 2/4/10 F Lab"
"9/9/03 6/2/10 M Lab"
"1/5/03 7/17/09 M Lab"
"7/9/08 5/30/13 NA Lab"
"10/1/03 2/4/10 M Lab"
"1/30/04 6/3/10 F Lab"
"8/4/03 8/24/09 M Lab"
"7/9/08 6/2/13 NA Lab"
"4/26/05 2/10/10 M Lab"
"2/14/04 6/17/10 F Lab"
"12/4/02 9/9/09 M Lab"
"12/3/05 2/9/10 M Lab"
"6/21/04 6/30/10 M Lab"
"8/22/03 8/30/09 F Lab"
"10/8/05 2/8/10 F Lab"
"6/4/04 7/2/10 F Lab"
"8/9/03 9/9/09 F Lab"
"11/19/05 2/8/10 F Lab"
"6/9/04 7/2/10 M Lab"
"5/25/03 9/11/09 M Lab"
"8/23/05 2/8/10 M Lab"
"6/29/04 7/7/10 F Lab"
